Grapheme	IPA	Frequency
_	NULL	
a	a	2408
i	i	1807
n	n	804
k	k	719
e	e	651
p	p	600
u	u	550
m	m	454
h	h	453
t	t	363
d	d	341
w	w	322
l	l	319
o	o	294
ɾ	ɾ	239
ɽ	ɽ	238
á	á/a	221
j	j	205
í	í	197
iː	iː	133
ɛ	ɛ	130
r	r	121
ʔ	ʔ	121
tʃ	tʃ	109
s	s	109
é	é	94
ʃ	ʃ	92
aː	aː	91
ts	ts	90
ú	ú	89
b	b	77
pʰ	pʰ	60
eː	eː	57
ó	ó	55
ʐ	ʐ	53
dz	dz	44
nʰ	nʰ	43
[	NULL	42
ã	ã	40
]	NULL	40
ɨ	ɨ	39
ĩ	ĩ	39
ɐ	ɐ	38
aa	aː	34
v	v	25
à	à	24
a-	a +	23
+	+
ʰ_l	ʰl
a-$	a
i-$	i
o-$	o
h-$	h
^[-_á_ʔ_[_w_]_ɨ_]-_s_o-_l_[h]_a	á/a ʔʷ ɨ + s o lʰ a
kʰ	kʰ	22
ii	iː	21
tʰ	tʰ	18
g	g	17
wʰ	wʰ	16
a:	aː	15
ɐ̃	ɐ̃	15
ɲ	ɲ	14
)	NULL	14
ũ	ũ	14
ẽ	ẽ	14
ee	eː	14
mʰ	mʰ	13
(	NULL	13
oː	oː	13
wh	wʰ	13
i:	iː	12
uː	uː	12
ì	ì	11
f	f	11
ù	ù	10
é:	éː/eː	10
tsʰ	tsʰ	10
ʊ	ʊ	10
i-	i +	9
e:	eː	9
ɛː	ɛː	9
uu	uː	8
è	è	8
kh	kʰ	8
ia	i/j a	8
ɽʰ	ɽʰ	8
tt	tː	8
ñ	ɲ	7
kʷ	kʷ	7
oo	oː	7
í:	íː/iː	7
dʒ	dʒ	7
lh	lʰ	6
e-	e +	6
]-	+	6
ɸ	ɸ	6
ʊ̃	ʊ̃	5
-	+	5
-$	NULL
^-	NULL
#	+	5
ɨ̃	ɨ̃	5
[h]	h	5
rh	rʰ	5
o-	o +	5
t̪	t̪	5
c̃	c̃	5
ĩː	ĩː	4
õ	õ	4
[-	+	4
é-	é/e +	4
ə	ə	4
ɔ	ɔ	4
tʃh	tʃʰ	4
á:	áː/aː	4
ʂ	ʂ	4
í-	í/i +	3
ʔ-	ʔ +	3
au	au	3
j̃	j̃	3
n-	n +	3
íí	íí	3
dh	dʰ	3
tsh	tsʰ	3
u-	u +	3
ɨ́	ɨ́/ɨ	3
ts-	ts +	3
ð	ð	3
ô	ô	3
hw	hʷ	3
oɨ	oɨ	3
oe	oe	3
ei	ei	3
'i	ʔ i	2
c	c	2
ui	ui	2
ái	ái/ai	2
hʲ	hʲ	2
ʰn	ʰn	2
ɪ	ɪ	2
â	â	2
ŋ	ŋ	2
ʧ	tʃ	2
š	š/ʃ	2
aá	áː/aː	2
ɨ́-	ɨ́/ɨ +	2
ʰj	ʰj/jʰ	2
eɨ	eɨ	2
ua	u/w a	2
ɾʰ	ɾʰ	2
lʰ	lʰ	2
oi	oi	2
ñh	ñh/nʲʰ	2
j̃ʰ	j̃ʰ	2
ai	ai	2
io	i/j o	2
J	J/j	1
ii-	iː +	1
th	tʰ	1
[tʃ]	tʃ	1
ng	ng/ŋ	1
oa-	oa +	1
ʰm	ʰm	1
ktʰ	k tʰ	1
i̥	i̥	1
h-	h +	1
k-	k +	1
iã	i/j ã	1
n̥	n̥	1
úú	ú:	1
[u]	u	1
[o]	o	1
[p	p	1
u]	u	1
(h	h	1
–	+	1
l[h]	lʰ	1
éh	é/e h	1
ʔʒ	ʔ ʒ	1
ie-	i/j e +	1
í́	í/i	1
i-u	i + u	1
β	β	1
iu-	i/j u +	1
kw	kʷ	1
éi	éi	1
uá	u/w á/a	1
auoɨ	au oɨ	1
auɨ	au ɨ	1
ɨ-	ɨ +	1
rr	rː	1
u:	uː	1
ɐː	ɐː	1
ẽː	ẽː	1
	NULL	1
ao	ao	1
ea	e/j a	1
ma	m a	1
si	s i	1
ṇ	n̩	1
ae	ae	1
ʰw	ʰw	1
t∫	tʃ	1
ũː	ũː	1
ãã	ãː	1
aiu	a i/j u	1
ɨa	ɨ/j a	1
hj	hʲ	1
kt	k t	1
Ih	I/ɪ h	1
nⁱ	nʲ	1
hm	ʰm	1
aã-	ãː +	1
ʔh	ʔʰ	1
̆o͡wé	o w é/e	1
ú:	úː/uː	1
óː	óː/oː	1
ê	ê	1
áː	áː/aː	1
hɲ	ʰɲ	1
ʰ_m	ʰm
^+_	NULL
_+$	NULL
jʰh	jʰ	1
jʰ	jʰ	1
ɲʰ	ɲʰ	1
ɲh	ɲʰ	1
á-	á/a +	1
és	é/e s	1
hɾ	ʰɾ	1
'	ʔ	1
ɨa-	ɨ/j a +	1
r-	r +	1
iu	i/j u	1
áa	áː/aː	1
s-	s +	1
ɛ̃	ɛ̃	1
ɯ	ɯ	1
jβ	j β	1
ɻh	ɻʰ	1
'a	a	1
ǰ	ǰ/dʒ	1
eí	eí	1
uo	u/w o	1
