ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source
Achagua-1_all-1-1,Achagua-1_all-1,k_i_n_i_n_a_m_a,34,false,expert,,,,
Warekena-1_all-1-1,Warekena-1_all-1,p_a_j_a_ɾ_u,41,false,expert,,p a j a ( ɾ u - - ),,
Baniwa_Dzawinai-2_ash-1-1,Baniwa_Dzawinai-2_ash-1,t_i_dz_e_mʰ_e_n_i,61,false,expert,,t i d z e mʰ e n i - - - -,,
Piapoco-10_bone-1-1,Piapoco-10_bone-1,a_p_i,108,false,expert,,- - - a p i - - - - - - -,,
Koripako_oho-37_hotorwarm-1-1,Koripako_oho-37_hotorwarm-1,h_a_m_o_d_a_l_e,128,false,expert,,h a - m o d a l e,,
Resigaro-90_white-1-1,Resigaro-90_white-1,+_(_b_r_a_n_c_o_)_+,941,false,expert,,,,
Koripako_name-37_hotorwarm-1-1,Koripako_name-37_hotorwarm-1,h_a_m_o_d_a_l_i,128,false,expert,,h a - m o d a l i,,
Tariana-90_white-1-1,Tariana-90_white-1,h_a_l_í_t_e,129,false,expert,,h a - l í - t e - - -,,
Werekena_Baniva-37_hotorwarm-1-1,Werekena_Baniva-37_hotorwarm-1,a_t_a_l_i,204,false,expert,,a t a ( l i - - ),,
Yukuna-90_white-1-1,Yukuna-90_white-1,h_a_r_e_n_i,129,false,expert,,h a - r e n i - - - -,,
Warekena-90_white-1-1,Warekena-90_white-1,á_ɾ_i_ɾ_i,129,false,expert,,- á - ɾ i - ɾ i - - -,,
Achagua-91_who-1-1,Achagua-91_who-1,t_á_n_a,198,false,expert,,t á n a - -,,
Baniwa-91_who-1-1,Baniwa-91_who-1,k_ó_a_k_a,1856,false,expert,,k ó a k a - - - - -,,
Bare-91_who-1-1,Bare-91_who-1,a_b_a_d_i,960,false,expert,,- a - - b a d i,,
Kabiyari-91_who-1-1,Kabiyari-91_who-1,m_i_kh_a,950,false,expert,,,,
Kabiyari-91_who-2-1,Kabiyari-91_who-2,a_rh_i,200,false,expert,,- a rh i - - - -,,
Tariana_Bruzzi-2_ash-1-1,Tariana_Bruzzi-2_ash-1,k_ã_d_a_ɾ_i,11,false,expert,,,,
Resigaro-10_bone-1-1,Resigaro-10_bone-1,a_á_p_í,108,false,expert,,- - a á p í - - - - - - -,,
Kabiyari-91_who-3-1,Kabiyari-91_who-3,u_mʰ_a,959,false,expert,,,,
Piapoco-91_who-1-1,Piapoco-91_who-1,k_à_i_n_á,947,false,expert,,k à i n á -,,
Piapoco-91_who-2-1,Piapoco-91_who-2,k_a_w_i_n_á,947,false,expert,,k a w i n á,,
Resigaro-91_who-1-1,Resigaro-91_who-1,k_é_e_n_í,947,false,expert,,k é e n í -,,
Tariana-91_who-1-1,Tariana-91_who-1,k_w_a_n_a,947,false,expert,,k w a n a -,,
Yukuna-91_who-1-1,Yukuna-91_who-1,n_a_h_l_o,955,false,expert,,,,
Warekena-91_who-1-1,Warekena-91_who-1,d_a_tʃ_i_b_a_ɾ_i,960,false,expert,,d a tʃ i b a ɾ i,,
Warekena-91_who-2-1,Warekena-91_who-2,d_a_tʃ_i_b_u_ɾ_e,960,false,expert,,d a tʃ i b u ɾ e,,
Warekena-91_who-3-1,Warekena-91_who-3,d_a_m_a_ɾ_i,199,false,expert,,d a - - m a ɾ i,,
Achagua-92_woman-1-1,Achagua-92_woman-1,í_i_n_e_t_oo,147,false,expert,,í i n e - - t oo - -,,
Koripako_aha-2_ash-1-1,Koripako_aha-2_ash-1,l_i_m_a_l_e,52,false,expert,,,,
Tariana-10_bone-1-1,Tariana-10_bone-1,d_i_j_á_p_i,108,false,expert,,d i j á p i - - - - - - -,,
Achagua-92_woman-2-1,Achagua-92_woman-2,í_i_n_a,147,false,expert,,í i n a - - - - - -,,
Baniwa-92_woman-1-1,Baniwa-92_woman-1,í_i_n_a_r_o,147,false,expert,,í i n a - - r o - -,,
Bare-92_woman-1-1,Bare-92_woman-1,h_i_n_a_tʃ_a_t_i,147,false,expert,,h i n a - - tʃ a t i,,
Kabiyari-92_woman-1-1,Kabiyari-92_woman-1,n_a_n_á_w_í,1920,false,expert,,n a n á w í - - - -,,
Piapoco-92_woman-1-1,Piapoco-92_woman-1,i_n_a_n_á_i,147,false,expert,,- i n a - - n á i -,,
Resigaro-92_woman-1-1,Resigaro-92_woman-1,i_n_á_a_d_ó,147,false,expert,,- i n á a - d ó - -,,
Tariana-92_woman-1-1,Tariana-92_woman-1,í_n_a_ɾ_u,147,false,expert,,- í n a - - ɾ u - -,,
Yukuna-92_woman-1-1,Yukuna-92_woman-1,i_n_a_n_a_ɾ_u,147,false,expert,,- i n a n a ɾ u - -,,
Baniwa_Waliperidakenai-38_i-1-1,Baniwa_Waliperidakenai-38_i-1,nʰ_u_ɐ̃,1,false,expert,,,,
Warekena-92_woman-1-1,Warekena-92_woman-1,n_e_j_a_w_a,1920,false,expert,,n e j a w a - - - -,,
Baniwa_Dzurema-38_i-1-1,Baniwa_Dzurema-38_i-1,nʰ_o_a,1,false,expert,,,,
Achagua-93_yellow-1-1,Achagua-93_yellow-1,m_e_r_ee_k_ii,971,false,expert,,,,
Koripako_ehe-2_ash-1-1,Koripako_ehe-2_ash-1,l_i_m_a_l_e,52,false,expert,,,,
Tariana-10_bone-2-1,Tariana-10_bone-2,d_i_ñ_á_p_i,108,false,expert,,d i ñ á p i - - - - - - -,,
Baniwa_Mauliene-38_i-1-1,Baniwa_Mauliene-38_i-1,nʰ_o_a,1,false,expert,,,,
Baniwa-93_yellow-1-1,Baniwa-93_yellow-1,é_e_w_a,1932,false,expert,,- - é e w a - - - -,,
Tariana_Bruzzi-38_i-1-1,Tariana_Bruzzi-38_i-1,n_u_h_ã,1,false,expert,,,,
Bare-93_yellow-1-1,Bare-93_yellow-1,w_i_t_u,23,false,expert,,- - - - - - - - w i t u,,
Koripako_aha-38_i-1-1,Koripako_aha-38_i-1,nʰ_o_a,1,false,expert,,,,
Kabiyari-93_yellow-1-1,Kabiyari-93_yellow-1,k_a_r_a_w_a_r_i,1932,false,expert,,k a r a w a r i - -,,
Koripako_ehe-38_i-1-1,Koripako_ehe-38_i-1,nʰ_u_a,1,false,expert,,,,
Piapoco-93_yellow-1-1,Piapoco-93_yellow-1,é_(_e_)_w_a,1932,false,expert,,- - é e w a - - - -,,
Koripako_oho-38_i-1-1,Koripako_oho-38_i-1,nʰ_u_a,1,false,expert,,,,
Piapoco-93_yellow-2-1,Piapoco-93_yellow-2,é:_w_é:_ɾ_i,1932,false,expert,,- - - é: w é: ɾ i - -,,
Koripako_name-38_i-1-1,Koripako_name-38_i-1,nʰ_o_a,1,false,expert,,,,
Resigaro-93_yellow-1-1,Resigaro-93_yellow-1,d_o_g_í_i_g_a_ʔ_é_ʔ,976,false,expert,,,,
Koripako_Kumadene-38_i-1-1,Koripako_Kumadene-38_i-1,nʰ_o_a,1,false,expert,,,,
Tariana-93_yellow-1-1,Tariana-93_yellow-1,e_w_í_t_e,1932,false,expert,,- - - e w í t e - -,,
Yukuna-93_yellow-1-1,Yukuna-93_yellow-1,h_e_w_a_n_i,1932,false,expert,,- - h e w a n i - -,,
Warekena-93_yellow-1-1,Warekena-93_yellow-1,p_u_ɾ_e_b_a_ɾ_u,213,false,expert,,,,
Warekena-93_yellow-2-1,Warekena-93_yellow-2,t_é_w_a_ɾ_i,1932,false,expert,,- - t é w a ɾ i - -,,
Koripako_oho-2_ash-1-1,Koripako_oho-2_ash-1,p_a_l_i_a_p_o_k_o_a,27,false,expert,,- p a - - - l i a p o k o a -,,
Yukuna-10_bone-1-1,Yukuna-10_bone-1,a_pʰ_i_n_á_m_i_h_i,108,false,expert,,- - - a pʰ i - n á m i h i,,
Koripako_name-2_ash-1-1,Koripako_name-2_ash-1,l_i_m_a_l_e,52,false,expert,,,,
Warekena-10_bone-1-1,Warekena-10_bone-1,n_u_ʃ_i_m_a_p_i_e,203,false,expert,,n u ʃ i m a p i e,,
Baniwa_Waliperidakenai-39_kill-1-1,Baniwa_Waliperidakenai-39_kill-1,n_u_i_n_o_a_k_a,21550,false,expert,,n u i n o a k a - - - -,,
Baniwa_Hohoodene-39_kill-1-1,Baniwa_Hohoodene-39_kill-1,w_a_j_n_o_a_k_a_n_i,21550,false,expert,,w a j n o a k a n i - -,,
Baniwa_Dzurema-39_kill-1-1,Baniwa_Dzurema-39_kill-1,ɽ_i_n_o_a_k_a_n_i,21550,false,expert,,ɽ i - n o a k a n i - -,,
Baniwa_Mauliene-39_kill-1-1,Baniwa_Mauliene-39_kill-1,n_u_i_n_o_a_k_a,21550,false,expert,,n u i n o a k a - - - -,,
Werekena_Baniva-2_ash-1-1,Werekena_Baniva-2_ash-1,p_a_ɾ_i_tʃ_i,27,false,expert,,- p a - - - ɾ i tʃ i - - - - -,,
Koripako_Kumadene-39_kill-1-1,Koripako_Kumadene-39_kill-1,n_u_i_n_i_o_k_a,21550,false,expert,,n u i n i o k a - - - -,,
Tariana_Kumadene-39_kill-1-1,Tariana_Kumadene-39_kill-1,w_a_j_d_o_a_n_ĩ_p_ɛ,21550,false,expert,,w a j d o a - - n ĩ p ɛ,,
Baniwa_Kowaidakenai-39_kill-1-1,Baniwa_Kowaidakenai-39_kill-1,n_u_t_u_ɽ_u_a_k_a,428,false,expert,,,,
Baniwa_Dzawinai-39_kill-1-1,Baniwa_Dzawinai-39_kill-1,n_u_i_n_o_a_k_a,21550,false,expert,,n u i n o a k a - - - -,,
Tariana_Bruzzi-39_kill-1-1,Tariana_Bruzzi-39_kill-1,n_ã_ĩ_n_u_ã_h_ĩ_n_ʊ̃_p_ɛ,21550,false,expert,,n ã ĩ n u ã h ĩ n ʊ̃ p ɛ,,
Koripako_ehe-39_kill-1-1,Koripako_ehe-39_kill-1,i_n_u_a_k_e_t_i,21550,false,expert,,- i - n u a k e t i - -,,
Koripako_oho-39_kill-1-1,Koripako_oho-39_kill-1,i_n_o_a_kʰ_e_t_i,21550,false,expert,,- i - n o a kʰ e t i - -,,
Koripako_name-39_kill-1-1,Koripako_name-39_kill-1,iː_n_o_k_e_t_i,21550,false,expert,,- iː - n o - k e t i - -,,
Werekena_Baniva-39_kill-1-1,Werekena_Baniva-39_kill-1,n_u_j_u_tʃ_i_a,115,false,expert,,n u j u tʃ i a,,
Baniwa_Waliperidakenai-40_knee-1-1,Baniwa_Waliperidakenai-40_knee-1,ɽ_i_u_ʃ_u_a_tʰ_e,21551,false,expert,,- - - - - ɽ i - - u ʃ u a tʰ e - - - - - -,,
Baniwa_Hohoodene-40_knee-1-1,Baniwa_Hohoodene-40_knee-1,h_aː_ʃ_i,21551,false,expert,,- - - - - - - h - aː ʃ i - - - - - - - - -,,
Baniwa_Dzurema-40_knee-1-1,Baniwa_Dzurema-40_knee-1,ɽʰ_i_o_ʐ_i,21551,false,expert,,- - - - - - - ɽʰ i o ʐ i - - - - - - - - -,,
Baniwa_Mauliene-40_knee-1-1,Baniwa_Mauliene-40_knee-1,n_u_s_i,21551,false,expert,,- - - - - - - n - u s i - - - - - - - - -,,
Koripako_Kumadene-40_knee-1-1,Koripako_Kumadene-40_knee-1,n_u_ʐ_i_p_a_d_a,21551,false,expert,,- - - - - - - n - u ʐ i - - - p a d a - -,,
Baniwa_Kowaidakenai-40_knee-1-1,Baniwa_Kowaidakenai-40_knee-1,n_uː_ʃ_i,21551,false,expert,,- - - - - - - n - uː ʃ i - - - - - - - - -,,
Baniwa_Dzawinai-40_knee-1-1,Baniwa_Dzawinai-40_knee-1,h_i_u_ʃ_i,21551,false,expert,,- - - - - - - h i u ʃ i - - - - - - - - -,,
Tariana_Bruzzi-40_knee-1-1,Tariana_Bruzzi-40_knee-1,tʰ_u_s_i_s_i_d_a,21551,false,expert,,- - - - - - - tʰ - u s i - s i d a - - - -,,
Werekena_Baniva-40_knee-1-1,Werekena_Baniva-40_knee-1,n_u_kʷ_a_ɾ_i_t_a_ɽ_e,860,false,expert,,( n u ) kʷ - - a ɾ i t a ɽ e,,
Baniwa_Waliperidakenai-41_knowsomething-1-1,Baniwa_Waliperidakenai-41_knowsomething-1,n_u_a_h_e_n_i,861,false,expert,,n u - a h - e n i - -,,
Baniwa_Hohoodene-41_knowsomething-1-1,Baniwa_Hohoodene-41_knowsomething-1,w_aː_h_ẽ_k_i̥,861,false,expert,,w - - aː h - ẽ k i̥ - -,,
Baniwa_Dzurema-41_knowsomething-1-1,Baniwa_Dzurema-41_knowsomething-1,w_aʰ_l_j_ẽ_ts_a,861,false,expert,,w - - aʰ l j ẽ ts a - -,,
Baniwa_Mauliene-41_knowsomething-1-1,Baniwa_Mauliene-41_knowsomething-1,n_u_w_a_nʰ_e_n_i,861,false,expert,,n u w a - nʰ e n i - -,,
Koripako_Kumadene-41_knowsomething-1-1,Koripako_Kumadene-41_knowsomething-1,n_u_w_a_nʰ_ẽ_o_k_a,861,false,expert,,n u w a - nʰ ẽ o k a -,,
Baniwa_Kowaidakenai-41_knowsomething-1-1,Baniwa_Kowaidakenai-41_knowsomething-1,n_u_a_nʰ_e,861,false,expert,,n u - a - nʰ e - - - -,,
Baniwa_Dzawinai-41_knowsomething-1-1,Baniwa_Dzawinai-41_knowsomething-1,n_u_a_nʰ_e_k_a,861,false,expert,,n u - a h n e k a - -,,
Tariana_Bruzzi-41_knowsomething-1-1,Tariana_Bruzzi-41_knowsomething-1,p_a_e_k_a_n_i_p_ɛ,444,false,expert,,- p a - e k a n i p ɛ,,
Koripako_aha-41_knowsomething-1-1,Koripako_aha-41_knowsomething-1,j_a_nʰ_i_k_a_d_a,861,false,expert,,j - - a h n i k a d a,,
Koripako_ehe-41_knowsomething-1-1,Koripako_ehe-41_knowsomething-1,aː_nʰ_e_k_e_t_i,861,false,expert,,- - - aː h n e k e t i,,
